,phone_num
0,00365412319825
1,00157348071425
2,00529867587032
3,00876239295703
4,00271463587043
5,00934618942073
6,00478529058397
7,00315267814502
8,00374521824930
9,00213796471592
10,00834692481905
11,00948362205438
12,00496385514290
13,00974631980572
14,00429618083512
15,00642159091358
16,00846137941732
17,00546328291487
18,00286497173485
19,00984563208315
20,00531426025147
21,00295831750149
22,00261937573921
23,00315946142850
24,00291853812973
25,00583719907285
26,00725918387210
27,00591736710895
28,00379261538091
29,00425893408237
30,00734598752804
31,00392168342185
32,00146839430189
33,00326519930128
34,00951674703182
35,00536178521789
36,00582471370425
37,00576328530849
38,00461759052487
39,00632179735981
40,00783265182054
41,00748153137249
42,00678425374895
43,00291456712094
44,00245386701948
45,00954821097438
46,00329541821439
47,00238659017325
48,00694357903128
49,00491623428537
50,00759123853712
51,00578362749302
52,00561732958137
53,00716285103492
54,00894127897045
55,00394218542810
56,00349587013758
57,00586273837152
58,00912768890217
59,00785623107483
60,00576148081793
61,00976251401823
62,00473859198327
63,00376958543027
64,00761834935042
65,00782916081579
66,00457689254107
67,00614729985027
68,00236748592401
69,00571698709241
70,00136728842157
71,00672143597280
72,00521479140587
73,00714826920145
74,00285976259180
75,00912368183549
76,00243157023189
77,00469382502413
78,00465738531784
79,00237865283507
80,00513289475109
81,00874563805391
82,00231784281479
83,00586421189504
84,00963582284195
85,00813574480531
86,00328157952408
87,00841593925418
88,00945628791453
89,00278463218053
90,00815439345170
91,00984612189354
92,00463275957840
93,00219745459827
94,00135948197253
95,00549321325078
96,00784296921504
97,00176498942305
98,00943518592037
99,00571234890435
100,00835749034152
101,00916743437058
102,00375184871239
103,00642197315704
104,00829761932510
105,00694175830475
106,00427869950723
107,00861745534870
108,00635719857120
109,00465923743218
110,00618574741835
111,00698712138795
112,00743861039845
113,00496531172895
114,00472369845319
115,00734826952407
116,00783512391420
117,00316587201584
118,00674981315789
119,00459372029418
120,00846125914358
121,00781345048153
122,00158394597321
123,00617428371902
124,00612357548270
125,00862973153489
126,00415697239085
127,00154926385701
128,00534981927081
129,00392654182974
130,00258469549831
131,00295147097458
132,00497325543702
133,00421573108539
134,00683475142807
135,00987346753890
136,00624351901534
137,00297365841507
138,00485762708235
139,00571362297851
140,00129783940357
141,00432679750983
142,00825194032589
143,00791825792381
144,00563179471058
145,00247156432907
146,00956827718340
147,00982574045378
148,00793864581724
149,00487936805972
150,00239516783549
151,00657948357208
152,00215897075423
153,00947362921780
154,00813954532084
155,00159764704532
156,00912684375018
157,00317429480251
158,00456928183725
159,00569842028431
160,00764238425879
161,00573269192573
162,00249375983524
163,00738642978240
164,00347589975823
165,00276495749853
166,00612543305498
167,00867429183245
168,00749216389275
169,00596814531047
170,00548316830917
171,00489635432958
172,00592437238541
173,00197562084371
174,00854613750924
175,00983716105397
176,00196384345980
177,00629481102839
178,00274168431852
179,00874295708925
180,00247931590274
181,00628953023849
182,00173649928175
183,00734562315920
184,00379614830945
185,00469258374215
186,00485321498530
187,00254978571809
188,00347259870319
189,00681342108347
190,00498326914328
191,00736985254381
192,00821697428531
193,00961347520748
194,00284561278513
195,00392614902341
196,00287365418053
197,00746315135240
198,00987612052148
199,00723548132947
200,00213497148295
201,00129385410273
202,00697851405198
203,00824315921354
204,00941376952430
205,00591623325970
206,00589671481703
207,00435179271483
208,00163928493078
209,00526179138704
210,00695123934518
211,00153276459270
212,00483179932104
213,00782194827395
214,00459382184293
215,00916472891035
216,00789153913508
217,00913865487592
218,00981576082791
219,00796482073518
220,00426571830597
221,00854967917285
222,00492735238457
223,00753928521370
224,00957436432790
225,00629483592071
226,00376412850279
227,00362549978542
228,00356274234107
229,00231945385107
230,00593846429107
231,00674825107893
232,00965234854397
233,00543968359871
234,00741325845231
235,00759286259108
236,00635892305417
237,00958621219807
238,00587936179482
239,00763294281954
240,00625317714583
241,00862479152038
242,00652718372945
243,00985762924157
244,00914765125908
